Page Id	URL	Name	From Attr	Value
page-2383	Robert_Quine	Robert Quine	dct:subject	dbc:People_from_Akron,_Ohio
page-1939	Mitch_Mitchell	Mitch Mitchell	dct:subject	dbc:People_from_Ealing
page-1210	Horace_Silver	Horace Silver	dct:subject	dbc:Musicians_from_New_Rochelle,_New_York
page-1210	Horace_Silver	Horace Silver	dct:subject	dbc:Musicians_from_New_York_City
page-1210	Horace_Silver	Horace Silver	dct:subject	dbc:Musicians_from_Norwalk,_Connecticut
page-1210	Horace_Silver	Horace Silver	dct:subject	dbc:People_from_New_Rochelle,_New_York
page-229	Art_Blakey	Art Blakey	dct:subject	dbc:Musicians_from_Pittsburgh,_Pennsylvania
page-2539	Sonny_Rollins	Sonny Rollins	dct:subject	dbc:Musicians_from_New_York_City
page-2539	Sonny_Rollins	Sonny Rollins	dct:subject	dbc:Jazz_musicians_from_New_York
page-2603	Steven_Van_Zandt	Steven Van Zandt	dct:subject	dbc:People_from_Middletown_Township,_New_Jersey
page-2603	Steven_Van_Zandt	Steven Van Zandt	dct:subject	dbc:Male_actors_from_New_Jersey
page-2603	Steven_Van_Zandt	Steven Van Zandt	dct:subject	dbc:People_from_Winthrop,_Massachusetts
page-1078	George_Elliott_Clarke	George Elliott Clarke	dct:subject	dbc:Writers_from_Nova_Scotia
page-1078	George_Elliott_Clarke	George Elliott Clarke	dct:subject	dbc:People_from_Windsor,_Nova_Scotia
page-368	Billy_Eckstine	Billy Eckstine	dct:subject	dbc:Musicians_from_Pittsburgh,_Pennsylvania
page-368	Billy_Eckstine	Billy Eckstine	dct:subject	dbc:Singers_from_Pennsylvania
page-1828	Mary_Lou_Williams	Mary Lou Williams	dct:subject	dbc:Musicians_from_Atlanta,_Georgia
page-1828	Mary_Lou_Williams	Mary Lou Williams	dct:subject	dbc:Musicians_from_Pittsburgh,_Pennsylvania
page-1034	Freddie_Hubbard	Freddie Hubbard	dct:subject	dbc:Musicians_from_Indianapolis,_Indiana
page-2185	Philly_Joe_Jones	Philly Joe Jones	dct:subject	dbc:Musicians_from_Philadelphia,_Pennsylvania
page-2657	Tadd_Dameron	Tadd Dameron	dct:subject	dbc:Musicians_from_Cleveland,_Ohio
page-360	Bill_Laswell	Bill Laswell	dct:subject	dbc:People_from_Marion_County,_Illinois
page-360	Bill_Laswell	Bill Laswell	dct:subject	dbc:People_from_Albion,_Michigan
page-1471	Jon_Hassell	Jon Hassell	dct:subject	dbc:Musicians_from_Memphis,_Tennessee
page-1929	Milt_Jackson	Milt Jackson	dct:subject	dbc:Jazz_musicians_from_Michigan
page-1929	Milt_Jackson	Milt Jackson	dct:subject	dbc:People_from_Teaneck,_New_Jersey
page-1929	Milt_Jackson	Milt Jackson	dct:subject	dbc:Musicians_from_Detroit,_Michigan
page-1929	Milt_Jackson	Milt Jackson	dct:subject	dbc:Jazz_musicians_from_New_York
page-324	Benny_Carter	Benny Carter	dct:subject	dbc:Jazz_musicians_from_California
page-586	Clark_Terry	Clark Terry	dct:subject	dbc:People_from_Haworth,_New_Jersey
page-586	Clark_Terry	Clark Terry	dct:subject	dbc:Musicians_from_St._Louis,_Missouri
page-586	Clark_Terry	Clark Terry	dct:subject	dbc:People_from_Bayside,_Queens
page-586	Clark_Terry	Clark Terry	dct:subject	dbc:People_from_Corona,_Queens
page-586	Clark_Terry	Clark Terry	dct:subject	dbc:People_from_St._Louis,_Missouri
page-586	Clark_Terry	Clark Terry	dct:subject	dbc:Songwriters_from_Missouri
page-1334	Jamie_Cullum	Jamie Cullum	dct:subject	dbc:Musicians_from_Wiltshire
page-1476	Jonny_Greenwood	Jonny Greenwood	dct:subject	dbc:People_from_Oxford
page-2119	Oscar_Pettiford	Oscar Pettiford	dct:subject	dbc:People_from_Okmulgee,_Oklahoma
page-465	Brock_Peters	Brock Peters	dct:subject	dbc:Male_actors_from_New_York_City
page-465	Brock_Peters	Brock Peters	dct:subject	dbc:People_from_Harlem
page-2026	Neal_Hefti	Neal Hefti	dct:subject	dbc:People_from_Hastings,_Nebraska
page-2026	Neal_Hefti	Neal Hefti	dct:subject	dbc:Musicians_from_Nebraska
page-2487	Shooby_Taylor	Shooby Taylor	dct:subject	dbc:People_from_Allegheny_County,_Pennsylvania
page-2487	Shooby_Taylor	Shooby Taylor	dct:subject	dbc:People_from_Harlem
page-2487	Shooby_Taylor	Shooby Taylor	dct:subject	dbc:Singers_from_New_York_City
page-2487	Shooby_Taylor	Shooby Taylor	dct:subject	dbc:Singers_from_Pennsylvania
page-807	Duane_Allman	Duane Allman	dct:subject	dbc:Musicians_from_Daytona_Beach,_Florida
page-807	Duane_Allman	Duane Allman	dct:subject	dbc:Musicians_from_Nashville,_Tennessee
page-838	Eddie_Vinson	Eddie Vinson	dct:subject	dbc:Musicians_from_Houston,_Texas
page-1982	Music_of_Illinois	Music of Illinois	dct:subject	dbc:Christian_rock_groups_from_Illinois
page-1430	Joe_Zawinul	Joe Zawinul	dct:subject	dbc:People_from_Landstraße
page-1087	Gerry_Mulligan	Gerry Mulligan	dct:subject	dbc:People_from_Queens,_New_York
page-549	Chet_Baker	Chet Baker	dct:subject	dbc:People_from_Milpitas,_California
page-549	Chet_Baker	Chet Baker	dct:subject	dbc:People_from_Payne_County,_Oklahoma
page-549	Chet_Baker	Chet Baker	dct:subject	dbc:Jazz_musicians_from_Oklahoma
page-1754	Louis_Malle	Louis Malle	dct:subject	dbc:People_from_Nord_(French_department)
page-232	Art_Farmer	Art Farmer	dct:subject	dbc:Musicians_from_Iowa
page-1162	Hank_Mobley	Hank Mobley	dct:subject	dbc:People_from_Eastman,_Georgia
page-1162	Hank_Mobley	Hank Mobley	dct:subject	dbc:Musicians_from_Georgia_(U.S._state)
page-1162	Hank_Mobley	Hank Mobley	dct:subject	dbc:People_from_Elizabeth,_New_Jersey
page-2409	Roy_Harper	Roy Harper	dct:subject	dbc:Musicians_from_Manchester
page-2409	Roy_Harper	Roy Harper	dct:subject	dbc:People_from_Rusholme
page-371	Billy_Preston	Billy Preston	dct:subject	dbc:LGBT_musicians_from_the_United_States
page-371	Billy_Preston	Billy Preston	dct:subject	dbc:LGBT_people_from_California
page-371	Billy_Preston	Billy Preston	dct:subject	dbc:LGBT_people_from_Texas
page-371	Billy_Preston	Billy Preston	dct:subject	dbc:Male_actors_from_Houston,_Texas
page-371	Billy_Preston	Billy Preston	dct:subject	dbc:Male_actors_from_Los_Angeles,_California
page-371	Billy_Preston	Billy Preston	dct:subject	dbc:Musicians_from_Houston,_Texas
page-371	Billy_Preston	Billy Preston	dct:subject	dbc:People_from_Topanga,_California
page-371	Billy_Preston	Billy Preston	dct:subject	dbc:Singers_from_Los_Angeles,_California
page-371	Billy_Preston	Billy Preston	dct:subject	dbc:Songwriters_from_California
page-371	Billy_Preston	Billy Preston	dct:subject	dbc:Songwriters_from_Texas
page-371	Billy_Preston	Billy Preston	dct:subject	dbc:Musicians_from_Los_Angeles_County,_California
page-2542	Sonny_Sharrock	Sonny Sharrock	dct:subject	dbc:People_from_Ossining,_New_York
page-1077	George_Duke	George Duke	dct:subject	dbc:Musicians_from_San_Rafael,_California
page-1662	List_of_people_from_Illinois	List of people from Illinois	dct:subject	dbc:Lists_of_people_from_Illinois
page-816	Earl_Hines	Earl Hines	dct:subject	dbc:People_from_Duquesne,_Pennsylvania
page-816	Earl_Hines	Earl Hines	dct:subject	dbc:Musicians_from_Chicago,_Illinois
page-816	Earl_Hines	Earl Hines	dct:subject	dbc:Musicians_from_Pittsburgh,_Pennsylvania
page-589	Claude_Thornhill	Claude Thornhill	dct:subject	dbc:Musicians_from_New_Jersey
page-589	Claude_Thornhill	Claude Thornhill	dct:subject	dbc:Musicians_from_New_Rochelle,_New_York
page-589	Claude_Thornhill	Claude Thornhill	dct:subject	dbc:People_from_Caldwell,_New_Jersey
page-589	Claude_Thornhill	Claude Thornhill	dct:subject	dbc:People_from_New_Rochelle,_New_York
page-589	Claude_Thornhill	Claude Thornhill	dct:subject	dbc:Musicians_from_Indiana
page-589	Claude_Thornhill	Claude Thornhill	dct:subject	dbc:People_from_Terre_Haute,_Indiana
page-3028	Tim_Buckley	Tim Buckley	dct:subject	dbc:People_from_Amsterdam,_New_York
page-3028	Tim_Buckley	Tim Buckley	dct:subject	dbc:Musicians_from_Washington,_D.C.
page-3028	Tim_Buckley	Tim Buckley	dct:subject	dbc:Musicians_from_Anaheim,_California
page-909	Fats_Navarro	Fats Navarro	dct:subject	dbc:People_from_Key_West,_Florida
page-1766	Lucky_Thompson	Lucky Thompson	dct:subject	dbc:People_from_Columbia,_South_Carolina
page-2057	Niki_de_Saint_Phalle	Niki de Saint Phalle	dct:subject	dbc:People_from_Neuilly-sur-Seine
page-207	Andrew_Hill	Andrew Hill	dct:subject	dbc:Musicians_from_Jersey_City,_New_Jersey
page-374	Biosphere_(musician)	Biosphere (musician)	dct:subject	dbc:People_from_Tromsø
page-2310	Ralph_J._Gleason	Ralph J. Gleason	dct:subject	dbc:Writers_from_New_York
page-2310	Ralph_J._Gleason	Ralph J. Gleason	dct:subject	dbc:Writers_from_the_San_Francisco_Bay_Area
page-1045	Friedrich_Gulda	Friedrich Gulda	dct:subject	dbc:Musicians_from_Vienna
page-856	Elvin_Jones	Elvin Jones	dct:subject	dbc:Musicians_from_Michigan
page-856	Elvin_Jones	Elvin Jones	dct:subject	dbc:People_from_Pontiac,_Michigan
page-3764	Wadada_Leo_Smith	Wadada Leo Smith	dct:subject	dbc:Musicians_from_Mississippi
page-3764	Wadada_Leo_Smith	Wadada Leo Smith	dct:subject	dbc:People_from_Washington_County,_Mississippi
page-2360	Rick_James	Rick James	dct:subject	dbc:People_from_Buffalo,_New_York
page-1095	Gidon_Kremer	Gidon Kremer	dct:subject	dbc:People_from_Riga
page-1586	Leontyne_Price	Leontyne Price	dct:subject	dbc:People_from_Laurel,_Mississippi
page-1586	Leontyne_Price	Leontyne Price	dct:subject	dbc:People_from_Greenwich_Village
page-1586	Leontyne_Price	Leontyne Price	dct:subject	dbc:Singers_from_Mississippi
