Page Id	URL	Name	EntityType	PageViews	subject	miles_work
3088	Trilok_Gurtu	Trilok Gurtu	musical artist	12473	musicians	
816	Earl_Hines	Earl Hines	musical artist	32761	musicians	
97	35th_Annual_Grammy_Awards	35th Annual Grammy Awards	award	8246	events	
2101	On_the_Road	On the Road	book	282011	recording	
589	Claude_Thornhill	Claude Thornhill	musical artist	6645	musicians	
3028	Tim_Buckley	Tim Buckley	musical artist	145057	musicians	
2966	The_Secret_Policeman%27s_Ball	The Secret Policeman's Ball	Thing	11348	events	
1551	Lamborghini_Miura	Lamborghini Miura	mean of transportation	174841	other	
2571	St._Louis_Post-Dispatch	St. Louis Post-Dispatch	Newspaper	38430	other	
909	Fats_Navarro	Fats Navarro	musical artist	10549	musicians	
1766	Lucky_Thompson	Lucky Thompson	musical artist	6798	musicians	
724	Delmar_Loop	Delmar Loop	NeighborhoodsInSt.Louis,Missouri	8294	places	
2057	Niki_de_Saint_Phalle	Niki de Saint Phalle	agent	40942	people	
207	Andrew_Hill	Andrew Hill	musical artist	14051	musicians	
374	Biosphere_(musician)	Biosphere (musician)	musical artist	14667	musicians	
2310	Ralph_J._Gleason	Ralph J. Gleason	agent	9772	musicians	
2192	Pierre_Menard,_Author_of_the_Quixote	Pierre Menard, Author of the Quixote	written work	21062	people	
2213	Pori	Pori	populated place	24897	places	
1045	Friedrich_Gulda	Friedrich Gulda	agent	14436	musicians	
1977	Music_of_Belgium	Music of Belgium	Thing	21679	genres	
93	29th_Annual_Grammy_Awards	29th Annual Grammy Awards	award	5936	recording	
1098	Gil_Evans	Gil Evans	musical artist	30468	musicians	
856	Elvin_Jones	Elvin Jones	musical artist	41345	musicians	
2968	The_Soft_Parade	The Soft Parade	album	80288	recording	
95	32nd_Annual_Grammy_Awards	32nd Annual Grammy Awards	award	8611	events	
144	African-American_music	African-American music	genre	60837	genres	
3764	Wadada_Leo_Smith	Wadada Leo Smith	musical artist	7863	musicians	
302	Bass_clarinet	Bass clarinet	Thing	58566	other	
1295	Isle_of_Wight_Festival_1970	Isle of Wight Festival 1970	populated place	33720	events	
1294	Isle_of_Wight_Festival	Isle of Wight Festival	musical work	34421	events	
1987	Music_of_Scotland	Music of Scotland	genre	29212	genres	
2360	Rick_James	Rick James	musical artist	469363	musicians	
