Page Id	URL	Name	Type Attr	Value
page-1141	Greenwich_Village	Greenwich Village	dct:subject	dbc:Little_Italys_in_the_United_States
page-1141	Greenwich_Village	Greenwich Village	dct:subject	dbc:National_Register_of_Historic_Places_in_Manhattan
page-1141	Greenwich_Village	Greenwich Village	dct:subject	dbc:Neighborhoods_in_Manhattan
page-1144	Grinnell_College	Grinnell College	dct:subject	dbc:Buildings_and_structures_in_Poweshiek_County,_Iowa
page-1144	Grinnell_College	Grinnell College	dct:subject	dbc:Education_in_Poweshiek_County,_Iowa
page-1144	Grinnell_College	Grinnell College	dct:subject	dbc:Educational_institutions_established_in_1846
page-1144	Grinnell_College	Grinnell College	dct:subject	dbc:Grinnell_College
page-1144	Grinnell_College	Grinnell College	dct:subject	dbc:Liberal_arts_colleges_in_Iowa
page-1144	Grinnell_College	Grinnell College	dct:subject	dbc:Members_of_the_Annapolis_Group
page-1144	Grinnell_College	Grinnell College	dct:subject	dbc:Members_of_the_Oberlin_Group
page-1144	Grinnell_College	Grinnell College	dct:subject	dbc:Midwest_Conference
page-1144	Grinnell_College	Grinnell College	dct:subject	dbc:Posse_schools
page-1144	Grinnell_College	Grinnell College	dct:subject	dbc:Visitor_attractions_in_Poweshiek_County,_Iowa
page-1983	Music_of_India	Music of India	dct:subject	dbc:Indian_music
page-1328	James_Brown	James Brown	dct:subject	dbc:1933_births
page-1328	James_Brown	James Brown	dct:subject	dbc:2006_deaths
page-1328	James_Brown	James Brown	dct:subject	dbc:20th-century_American_singers
page-1328	James_Brown	James Brown	dct:subject	dbc:21st-century_American_singers
page-1328	James_Brown	James Brown	dct:subject	dbc:African-American_composers
page-1328	James_Brown	James Brown	dct:subject	dbc:African-American_male_dancers
page-1328	James_Brown	James Brown	dct:subject	dbc:African-American_male_singers
page-1328	James_Brown	James Brown	dct:subject	dbc:African-American_rock_musicians
page-1328	James_Brown	James Brown	dct:subject	dbc:African-Americans'_civil_rights_activists
page-1328	James_Brown	James Brown	dct:subject	dbc:American_drummers
page-1328	James_Brown	James Brown	dct:subject	dbc:American_expatriates_in_Nigeria
page-1328	James_Brown	James Brown	dct:subject	dbc:American_expatriates_in_Zambia
page-1328	James_Brown	James Brown	dct:subject	dbc:American_funk_keyboardists
page-1328	James_Brown	James Brown	dct:subject	dbc:American_funk_singers
